y, predicted
-1.443965214126253149e-03,-1.825048588216304779e-03
-1.443968283855684084e-03,-1.838970463722944260e-03
-1.269604007438710803e-03,-1.799864694476127625e-03
-1.646731027452876146e-03,-1.819828525185585022e-03
-1.369269100154689662e-03,-1.800637692213058472e-03
-1.803203290863665802e-03,-1.809969544410705566e-03
-1.379863148580177078e-03,-1.795246265828609467e-03
-1.344373952360250393e-03,-1.800876110792160034e-03
-1.411963404988021004e-03,-1.778793521225452423e-03
-1.451096976335604621e-03,-1.818461343646049500e-03
-1.849421139341450235e-03,-1.801726873964071274e-03
-1.468870816805986721e-03,-1.795635093003511429e-03
-1.828326010339725296e-03,-1.843010541051626205e-03
-1.736003624384994731e-03,-1.785071566700935364e-03
-1.493761106466395079e-03,-1.781397033482789993e-03
-1.618512593960730328e-03,-1.768878195434808731e-03
-1.529442575177005414e-03,-1.762297004461288452e-03
-1.486671657730346272e-03,-1.810663379728794098e-03
-1.536576462907926835e-03,-1.816275063902139664e-03
-1.319116638278079214e-03,-1.813461538404226303e-03
-1.347681212132571804e-03,-1.826702617108821869e-03
-1.547238736970249192e-03,-1.829577609896659851e-03
-1.511613688638975246e-03,-1.831523142755031586e-03
-1.679101350424484470e-03,-1.829274464398622513e-03
-1.436762931178184755e-03,-1.800427678972482681e-03
-1.208632728131157647e-03,-1.824202947318553925e-03
-1.365539861809595074e-03,-1.790466718375682831e-03
-1.557904922468079933e-03,-1.792432274669408798e-03
-1.565076432313711836e-03,-1.786758191883563995e-03
-1.490197271423226305e-03,-1.773990225046873093e-03
-1.511610839339392947e-03,-1.799944788217544556e-03
-1.550807408077267907e-03,-1.812024507671594620e-03
-1.714744946794578102e-03,-1.808744389563798904e-03
-1.593667465200788048e-03,-1.821247860789299011e-03
-1.604318956265378057e-03,-1.803644467145204544e-03
-1.807737095761325534e-03,-1.819861587136983871e-03
-1.540180049325631621e-03,-1.782344188541173935e-03
-1.276064390802021968e-03,-1.794331707060337067e-03
-1.308264237881277782e-03,-1.760692335665225983e-03
-3.473476929142649185e-03,-1.807153224945068359e-03
-2.142022004629416578e-03,-1.727523282170295715e-03
-1.554862692135211728e-03,-1.386762131005525589e-03
-1.648086262491281961e-03,-1.475561875849962234e-03
